level,topic,subtopic,question label
1,ESRS S1,S1.SBM-3,"Disclosure of material impacts, risks and opportunities and how they interact with strategy and business model"
2,ESRS S1,S1.SBM-3,"Please select your material impacts, risks and opportunities associated with your Own Workforce"
3,ESRS S1,S1.SBM-3,Description of material impacts resulting from materiality assessment
4,ESRS S1,S1.SBM-3,Do your actual and potential impacts on your own workforce originate from or are connected to your strategy and business models?
4,ESRS S1,S1.SBM-3,Do your actual and potential impacts on your own workforce inform and contribute to adapting your strategy and business model?
4,ESRS S1,S1.SBM-3,Are all people in your own workforce included in the scope of this disclosure?
5,ESRS S1,S1.SBM-3,"In addition, please describe the types of employees and non-employees in your own workforce subject to material impacts by your operations."
6,ESRS S1,S1.SBM-3,Type of employees and non-employees in own workforce subject to material impacts by own operations
6,ESRS S1,S1.SBM-3,"Understanding of how people in own workforce / value chain workers with particular characteristics, working in particular contexts, or undertaking particular activities may be at greater risk of harm has been developed"
7,ESRS S1,S1.SBM-3,"Disclosure of how understanding of how people in own workforce / value chain workers with particular characteristics, working in particular contexts, or undertaking particular activities may be at greater risk of harm has been developed"
5,ESRS S1,S1.SBM-3,Are the material negative impacts:
5,ESRS S1,S1.SBM-3,Please describe the activities that result in the positive impacts and the types of employees that are or could be positively impacted.
5,ESRS S1,S1.SBM-3,Please disclose the specific countries or regions where positive impacts for your own workforce occur.
6,ESRS S1,S1.SBM-3,Countries where positive impacts for your own workforce occur
5,ESRS S1,S1.SBM-3,"Please list any material impact on your own workforce (restructuring, employment loss, reskilling….) that may arise from transition plans for climate change or the environment as well as action plans to reduce your carbon emissions. "
5,ESRS S1,S1.SBM-3,Please describe your operations at significant risk of forced labour or compulsory labour.
5,ESRS S1,S1.SBM-3,Please disclose your countries or geographic areas with operations considered at significant risk of incidents of forced labour or compulsory labour.
6,ESRS S1,S1.SBM-3,Countries with operations considered at significant risk of incidents of forced labour or compulsory labour
5,ESRS S1,S1.SBM-3,Please describe your operations at significant risk of child labour.
5,ESRS S1,S1.SBM-3,Please disclose your countries or geographic areas with operations considered at significant risk of incidents of child labour.
6,ESRS S1,S1.SBM-3,Countries with operations considered at significant risk of incidents of child labour
3,ESRS S1,S1.SBM-3,Description of material risks and (or) opportunities resulting from materiality assessment
4,ESRS S1,S1.SBM-3,Disclosure of relationship between material risks and opportunities arising from impacts and dependencies on own workforce and strategy and business model
5,ESRS S1,S1.SBM-3,Have you developed an understanding of how people with particular characteristics or those working in a particular context may be at greater risk?
1,ESRS S1,S1-1,Minimum Disclosure Requirement - policies related to your own workforce
2,ESRS S1,S1-1,Name or identifier of policy
2,ESRS S1,S1-1,Sustainability matters addressed by the policy
2,ESRS S1,S1-1,"Name or identifier of related impacts, risks and opportunities"
2,ESRS S1,S1-1,Description of key contents of the policy
2,ESRS S1,S1-1,Scope of the policy
2,ESRS S1,S1-1,What is your most senior level that is accountable for the implementation of the policy ?
2,ESRS S1,S1-1,List the third-party standards or initiatives that are respected through the implementation of the policy
2,ESRS S1,S1-1,How did you consider the interests of key stakeholders in setting the policy ?
2,ESRS S1,S1-1,Is the policy made available to potentially affected stakeholders and stakeholders who need to help implement it ?
